year_month,Mkt-RF,SMB,HML,RF,MOM,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
192902,   -0.34,   -0.39,    1.68,    0.36,   3.08,   0.9617,  -7.9993,  -3.1236,   0.0022,  -1.3350,  -3.2503,   1.8518,   3.8102,   0.6559,   4.7822,   1.2593,   0.1955,   0.5910,   3.9779,   0.3155,  -1.3310,   1.4211,   3.5099,   0.3941,   1.9268,  -0.7916,   1.0302,   0.4413,   0.7335,   3.4624,  -4.04,   2.39,  -1.99,  -2.18,  -0.10,  -1.07,  -0.15,   0.29,   0.60,   3.60
192903,   -0.89,   -4.74,    1.61,    0.34,  -0.70, -14.5269,  -0.6033,  -2.9370,  -4.8020,  -2.2935,  -4.0760,  -5.8595,  -5.3253,  -2.3570,  -4.0309,  -7.0473,  -4.9069,  -2.7999,  -3.1709,  -5.5557,  -4.4913,  -5.1368,   0.2326,  -1.2300,  -1.1298,  -0.1714,   0.7840,   3.5141,   0.0416,   0.7663,  -0.63,  -0.34,  -1.17,  -2.03,   2.34,   1.88,   0.15,  -2.32,  -2.77,   2.09
192904,    1.43,   -1.00,    0.60,    0.36,   1.89,  -4.4228,  -8.8377,  -0.2482,   7.4085,  -1.9532,   0.0014,   0.8046,   4.5814,  -2.2911,   2.7034,   1.0786,   0.6879,   3.7299,  -0.2524,   1.4354,   3.0552,   0.2672,  -0.4971,   1.7735,   4.5725,   2.0952,   2.8600,   0.8808,   0.8070,   2.8638,  -8.28,   1.97,  -0.05,   1.32,   0.28,   2.59,   2.56,   4.27,   2.94,   0.65
192905,   -6.39,   -5.35,   -1.40,    0.44,  -2.04, -21.8773,  -6.4153, -17.4473, -15.5732, -12.9566, -11.2609, -11.7596,  -7.9703, -13.3411, -14.2671,  -6.2961, -10.5040,  -8.0171,  -9.0168,  -8.8632,  -7.3537, -10.5007,  -3.2425,  -5.0181,   0.9380,  -5.6330,  -5.9171,  -3.0771,  -2.6958,  -1.6714, -10.15,  -9.55,  -3.64,  -4.10,  -1.28,  -8.54,  -3.80,  -4.05,  -5.86, -12.34
192906,    9.70,   -2.17,   -2.76,    0.52,   8.79,  15.9956,   4.0699,   4.0079,   6.8584,   6.7252,   3.6693,   6.7134,  11.3249,   4.2488,   6.3666,   6.9790,  10.8677,  10.0664,   7.9280,   8.8555,  13.2732,  10.7450,  11.0638,   9.1239,   3.5929,  11.9075,  13.6428,   7.9115,   7.7838,   4.7418,  -2.18,   3.81,   4.30,   6.57,   4.96,   6.56,  11.52,  12.57,  18.48,   9.34
192907,    4.46,   -3.88,    2.66,    0.33,   2.95,   1.2390,  -5.2223,  -3.5738,  -8.9964,   2.3089,  -2.2962,   2.4271,  -1.5928,   0.3667,   6.2160,   0.4357,   3.7091,   1.3018,  -0.3775,  10.7093,   1.8868,   3.1061,   1.7687,   2.4422,   4.4353,   2.9497,   6.5495,   5.9956,   8.4802,   5.1378,   2.49,  -1.00,   1.23,  -0.88,   5.06,   5.42,   7.40,   4.45,   4.86,   5.40
192908,    8.18,   -9.52,    0.06,    0.40,   4.67,  -4.1263,  -4.2272,  -9.3700,   4.6324,  -4.6987,  -1.2892,   0.4637,   0.3340,   0.8486,  -0.5221,   1.7465,   0.6631,   5.7220,   1.9039,  -0.2876,   3.3402,   0.2874,   3.8821,   5.3704,   7.7631,   6.7578,  13.0514,  13.3057,  13.4117,   6.8157,  -0.47,   1.83,   4.38,   3.13,   4.50,   6.98,  11.51,  11.88,  13.65,   8.54
192909,   -5.47,    1.17,   -0.63,    0.35,   3.04, -10.3134,  -2.4655,  -8.8359,  -5.8301,  -9.8426,  -7.5726,  -2.8525,  -4.7079,  -6.0842,  -2.0950,  -9.2610,   0.0135,  -2.2233,  -3.5123,  -0.6119,  -0.8643,   1.2457,  -4.2763,  -4.0748,  -7.2368,  -5.6283,  -3.8120,  -4.0339,  -7.1977,  -6.8662,  -9.36, -11.13,  -6.00,  -4.17,  -3.83,  -4.73,  -2.15,  -7.75,  -5.77,  -3.43
192910,  -20.12,   -4.08,    7.85,    0.46,   4.09, -26.2937, -23.6557, -18.5978, -23.7403, -16.9079, -19.6051, -19.0930, -22.7131, -16.0753, -17.4290, -28.2612, -20.3218, -12.6576, -15.3248, -19.0514, -29.2963, -23.1909, -16.3109, -13.4348, -17.0225, -24.6689, -20.3578, -13.1589, -10.5988,  -7.4875, -32.99, -26.61, -26.63, -17.40,  -9.79, -15.38,  -9.19, -15.47, -16.09, -27.55
192911,  -12.74,   -1.90,    5.33,    0.37,  -2.02,  -1.3563, -16.5163,  -4.5325, -15.8807, -15.5459, -19.3908, -14.8777,  -9.7865, -10.2741, -14.0298, -14.0294, -12.9066,  -7.7886,  -8.6055, -12.2012, -14.9201, -14.8344,  -7.4549,  -8.7952, -11.3882, -13.1881, -16.8699, -10.0958,  -9.6514,  -6.3322, -15.74, -13.58, -13.79,  -9.08,  -8.23,  -8.12,  -8.25, -10.82, -12.60, -16.38
